Kpmag,numax,e_numax,Delnu,e_Delnu,A,e_A,Width,e_Width,Teff,e_Teff,log(g),e_log(g),[Fe/H],e_[Fe/H],NoCorM,e_NoCorM,NoCorR,e_NoCorR,RGBcorM,e_RGBcorM,RGBcorR,e_RGBcorR,ClcorM,e_ClcorM,ClcorR,e_ClcorR,Phase
13.34,84.47,1.11,7.67,0.013, 61.8,  2.7, 29.4, 1.7,4814,80,2.835,0.008,-0.07,0.15,1.5,0.09,7.74,0.16,1.38,0.08,7.44,0.16,1.51,0.09,7.79,0.17,1
10.18,35.02,1.0,3.836,0.031, 71.3,  2.7, 15.1, 1.1,4987,141,2.461,0.014,-0.13,0.3,1.8,0.19,13.06,0.5,1.72,0.18,12.76,0.49,1.84,0.2,13.22,0.51,2
13.92,29.36,1.01,3.577,0.044,103.0,  8.7,  9.7, 4.0,4800,144,2.376,0.017,-0.28,0.3,1.32,0.17,12.36,0.58,1.19,0.15,11.72,0.55,1.32,0.17,12.36,0.58,2
11.7,120.51,1.17,9.673,0.016, 27.5,  1.5, 42.8, 8.2,4876,80,2.992,0.007,0.08,0.15,1.75,0.09,6.99,0.13,1.66,0.09,6.81,0.13,1.79,0.09,7.07,0.14,1
13.24,34.64,3.03,4.085,0.027,117.1,  5.2, 16.6, 3.5,4971,159,2.455,0.039,0.08,0.3,1.34,0.36,11.37,1.04,1.33,0.36,11.31,1.03,1.36,0.37,11.44,1.04,2
13.78,31.48,0.49,4.143,0.064,164.1,  9.4, 12.3, 1.3,4875,80,2.409,0.009,-0.44,0.15,0.93,0.08,9.95,0.38,0.85,0.07,9.54,0.36,0.94,0.08,10.0,0.38,2
13.74,29.63,0.53,3.974,0.034,143.5,  7.3, 10.5, 1.3,4882,158,2.383,0.011,-0.63,0.3,0.91,0.08,10.19,0.33,0.82,0.07,9.64,0.31,0.91,0.08,10.17,0.33,2
11.64,7.23,0.47,1.161,0.059,331.8, 29.7,  4.0, 1.0,4318,100,1.744,0.029,-0.05,0.15,1.52,0.44,27.38,3.35,1.34,0.38,25.71,3.08,1.48,0.43,27.1,3.31,1
12.92,136.07,0.8,11.316,0.017, 40.0,  1.6, 41.0, 2.5,4923,80,3.047,0.006,-0.19,0.15,1.36,0.06,5.79,0.1,1.29,0.06,5.62,0.1,1.39,0.07,5.85,0.1,1
12.931,212.06,2.91,15.984,0.035,     ,     ,     ,    ,4979,80,3.242,0.008,-0.12,0.15,1.32,0.08,4.55,0.1,1.28,0.08,4.48,0.1,1.34,0.08,4.58,0.1,1
10.78,28.12,0.58,3.742,0.028,112.5,  6.3, 12.4, 2.5,4758,100,2.355,0.011,-0.2,0.15,0.96,0.08,10.76,0.33,0.87,0.07,10.27,0.32,0.95,0.08,10.73,0.33,2
13.83,30.28,1.85,3.847,0.088, 90.0, 10.2, 19.0, 6.6,4982,164,2.397,0.028,-0.01,0.3,1.15,0.24,11.22,0.89,1.15,0.25,11.24,0.89,1.15,0.25,11.26,0.89,2
13.92,156.19,1.01,13.183,0.027, 47.0,  2.7, 40.6, 2.8,4971,154,3.109,0.008,-0.53,0.3,1.14,0.07,4.92,0.11,1.06,0.07,4.75,0.11,1.16,0.07,4.98,0.11,1
12.37,142.81,1.63,11.425,0.017, 22.4,  1.3, 42.6, 6.2,4977,80,3.071,0.007,-0.08,0.15,1.54,0.09,6.0,0.12,1.48,0.08,5.88,0.12,1.57,0.09,6.05,0.12,1
12.92,30.89,0.98,3.86,0.055,114.0,  4.3, 15.4, 3.0,4764,145,2.396,0.016,0.17,0.3,1.12,0.14,11.12,0.53,1.07,0.13,10.86,0.51,1.13,0.14,11.14,0.53,2
13.77,40.29,0.83,4.518,0.039, 84.0,  4.2, 16.6, 1.3,4970,155,2.521,0.012,-0.2,0.3,1.41,0.13,10.81,0.37,1.35,0.12,10.55,0.36,1.44,0.13,10.93,0.37,2
12.33,197.28,0.86,15.042,0.075, 30.9,  1.4, 49.6, 3.7,4963,80,3.21,0.006,-0.08,0.15,1.35,0.07,4.77,0.09,1.3,0.06,4.7,0.09,1.37,0.07,4.81,0.09,1
12.23,108.0,0.77,9.41,0.023, 38.9,  3.0, 29.7, 2.8,4908,80,2.946,0.006,-0.2,0.15,1.42,0.07,6.64,0.12,1.33,0.07,6.42,0.12,1.45,0.07,6.71,0.12,1
11.85,47.1,1.64,4.424,0.483, 68.9,  7.3, 17.6, 3.6,5041,165,2.592,0.017,0.18,0.3,2.51,1.14,13.28,2.95,2.58,1.18,13.47,3.01,2.59,1.18,13.49,3.02,2
9.22,98.48,1.54,7.894,0.047, 30.4,  1.5, 37.8, 3.0,5054,80,2.912,0.009,-0.0,0.15,2.27,0.15,8.73,0.22,2.28,0.16,8.75,0.22,2.37,0.16,8.92,0.23,2
